p door m factors_of_m added_to_S S_after
853	+1	852	2·3·71	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,71,73,79,89,97,101,139,179,199}
857	+3	854	2·7·61	61	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
859	+1	858	2·3·11·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
863	+3	860	2·5·43	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
877	+1	876	2·3·73	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
881	+1	880	2·5·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
883	+1	882	2·3·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
887	+3	884	2·13·17	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,139,179,199}
907	+3	904	2·113	113	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,113,139,179,199}
911	+1	910	2·5·7·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,113,139,179,199}
919	+1	918	2·3·17	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,113,139,179,199}
929	+1	928	2·29	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,113,139,179,199}
937	+1	936	2·3·13	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,59,61,71,73,79,89,97,101,113,139,179,199}
941	+1	940	2·5·47	47	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
947	+1	946	2·11·43	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
953	+1	952	2·7·17	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
967	+1	966	2·3·7·23	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
971	+1	970	2·5·97	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
977	+1	976	2·61	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
983	+3	980	2·5·7	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
991	+1	990	2·3·5·11	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
997	+3	994	2·7·71	—	{2,3,5,7,11,13,17,19,23,29,31,37,41,43,47,59,61,71,73,79,89,97,101,113,139,179,199}
