X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3
10000000000,1.6817928,2,2226939,1.78458009,1.83196162,0.12994429,0.16786754,0.16009921,0.03015492,0.03792325,0.87321507,0.69434269,1.36852525,0.76686121,0.12994429,0.30656071,0.30963578,0.25385922,2.76867126,3.67938053,4.11269101,-4.16054839e-01,2.23431296e-01,-1.93894131e-01,4.16054839e-01,1.11715648e-01
10000000000,2,2.3784142,1889278,2.14746162,2.17855435,0.08505948,0.11678021,0.11320507,0.02814559,0.03172074,0.73039695,0.64807615,1.63385260,0.76082971,0.08505948,0.24295736,0.30612806,0.36585510,4.09798240,6.87729069,10.02952027,-5.13609018e-01,2.82942057e-01,-2.47737026e-01,5.13609018e-01,1.41471028e-01
10000000000,2.3784142,2.8284271,1603426,2.56550411,2.59078937,0.05186956,0.07688042,0.07496085,0.02309129,0.02501086,0.57589624,0.53169650,1.93031455,0.75241140,0.05186956,0.17901793,0.27674866,0.49236385,5.94662180,12.34949040,22.75927670,-6.35189564e-01,3.52570602e-01,-3.05259403e-01,6.35189564e-01,1.76285301e-01
10000000000,2.8284271,3.3635857,1360628,3.03870198,3.08094912,0.02937100,0.04789702,0.04591566,0.01654466,0.01852602,0.42657747,0.38095488,2.27243963,0.74783235,0.02937100,0.12267130,0.22945140,0.61850631,8.46744738,21.52308199,49.57406139,-7.66262349e-01,4.49918679e-01,-4.64818472e-01,7.66262349e-01,2.24959339e-01
10000000000,3.3635857,4,1154704,3.63833935,3.66386993,0.01439936,0.02629598,0.02563312,0.01123376,0.01189661,0.27392968,0.25866691,2.69018513,0.73939918,0.01439936,0.07243328,0.16608499,0.74708237,12.28935900,38.37936302,110.29902036,-9.48154216e-01,5.65918166e-01,-5.58510672e-01,9.48154216e-01,2.82959083e-01
20000000000,0.5,0.59460356,13237553,0.50053125,0.54463900,0.57668438,0.60620852,0.58005114,0.00336677,0.02952415,0.70028319,0.07985635,0.41407007,0.82726117,0.57668438,0.35084551,0.06779863,0.00467148,0.16407035,0.02936147,0.00177676,-8.64611825e-02,3.37921773e-02,-2.11045416e-02,8.64611825e-02,1.68960886e-02
20000000000,0.59460356,0.70710678,11223476,0.60833221,0.64768845,0.51046726,0.54425782,0.52325391,0.01278665,0.03379056,0.80147828,0.30328653,0.49799525,0.81862384,0.51046726,0.38145170,0.09771010,0.01037094,0.25973112,0.06848360,0.00835249,-1.10336961e-01,4.47238447e-02,-2.89553236e-02,1.10336961e-01,2.23619224e-02
20000000000,0.70710678,0.84089642,9515033,0.75485130,0.77023947,0.43200134,0.47008051,0.46290220,0.03090086,0.03807917,0.90319982,0.73293750,0.61102391,0.80946262,0.43200134,0.40569770,0.13929757,0.02300339,0.42597309,0.16650053,0.03960302,-1.43827391e-01,6.20907730e-02,-4.28882296e-02,1.43827391e-01,3.10453865e-02
20000000000,0.84089642,1,8069067,0.88554711,0.91596836,0.37357789,0.41248843,0.40012897,0.02655108,0.03891055,0.92291917,0.62976511,0.71712052,0.80980505,0.37357789,0.41161896,0.17470917,0.04009398,0.61576710,0.32045192,0.11683433,-1.68426591e-01,7.34605009e-02,-5.09644895e-02,1.68426591e-01,3.67302505e-02
20000000000,1,1.1892071,6841812,1.06478839,1.08927494,0.30343628,0.34480081,0.33646036,0.03302408,0.04136453,0.98112513,0.78329801,0.84988878,0.79817622,0.30343628,0.40829242,0.21877231,0.06949899,0.91887471,0.61985421,0.31119125,-2.14899613e-01,9.90923183e-02,-7.29619202e-02,2.14899613e-01,4.95461592e-02
20000000000,1.1892071,1.4142136,5802947,1.27519741,1.29537846,0.23688119,0.27937581,0.27379422,0.03691303,0.04249462,1.00792979,0.87554017,1.00003599,0.78422053,0.23688119,0.38827117,0.26117523,0.11367242,1.35096702,1.15410842,0.76512848,-2.75161424e-01,1.33129048e-01,-1.00683023e-01,2.75161424e-01,6.65645239e-02
20000000000,1.4142136,1.6817928,4921812,1.50431366,1.54048060,0.18194986,0.22216973,0.21427810,0.03232824,0.04021987,0.95397496,0.76679337,1.17406382,0.78046478,0.18194986,0.35440931,0.29046274,0.17317809,1.93270974,2.07818828,1.82164130,-3.30249831e-01,1.64385283e-01,-1.31635583e-01,3.30249831e-01,8.21926414e-02
20000000000,1.6817928,2,4173809,1.80080952,1.83196712,0.12885448,0.16516513,0.16009832,0.03124384,0.03631065,0.86125215,0.74107263,1.39164141,0.77278656,0.12885448,0.30301219,0.30876497,0.25936836,2.83374682,3.83873675,4.39595008,-4.09168118e-01,2.09366169e-01,-1.69532831e-01,4.09168118e-01,1.04683085e-01
20000000000,2,2.3784142,3541174,2.15393821,2.17859225,0.08575772,0.11602632,0.11320078,0.02744306,0.03026860,0.71794093,0.65092188,1.65797244,0.76974002,0.08575772,0.24236849,0.30356147,0.36831232,4.14348405,7.04965190,10.50283550,-4.95965775e-01,2.61402525e-01,-2.05734933e-01,4.95965775e-01,1.30701262e-01
20000000000,2.3784142,2.8284271,3003125,2.55722622,2.59077370,0.05305041,0.07751946,0.07496202,0.02191161,0.02446906,0.58038155,0.51972153,1.94184341,0.75935535,0.05305041,0.18067746,0.27698314,0.48928899,5.92402314,12.33794398,22.89488716,-6.15382811e-01,3.36222776e-01,-2.98793755e-01,6.15382811e-01,1.68111388e-01
20000000000,2.8284271,3.3635857,2548082,3.04515475,3.08092480,0.02994998,0.04758895,0.04591677,0.01596680,0.01763897,0.41837867,0.37871638,2.29711233,0.75434995,0.02994998,0.12234614,0.22823716,0.61946672,8.52492502,21.82171688,50.76844466,-7.48042416e-01,4.17810806e-01,-3.67939273e-01,7.48042416e-01,2.08905403e-01
20000000000,3.3635857,4,2162648,3.64141182,3.66390508,0.01451230,0.02621531,0.02563222,0.01111992,0.01170300,0.27758355,0.26375335,2.72265337,0.74769169,0.01451230,0.07293975,0.16707065,0.74547730,12.34112162,38.79652167,112.65636941,-9.18758453e-01,5.48571242e-01,-5.94935362e-01,9.18758453e-01,2.74285621e-01
