X,bin_type,bin_lo,bin_hi,H_bin,P_bin,residual,rel
20000000000,decade,1000,10000,1061,1061.000000,0.000000,0.00000000
20000000000,decade,10000,100000,8363,8363.000000,0.000000,0.00000000
20000000000,decade,100000,1000000,68906,68906.000000,0.000000,0.00000000
20000000000,decade,1000000,10000000,586081,586081.000000,0.000000,0.00000000
20000000000,decade,10000000,100000000,5096867,5096800.577103,66.422897,0.00001303
20000000000,decade,100000000,1000000000,37619784,36386723.574295,1233060.425705,0.03388765
20000000000,decade,1000000000,10000000000,79395568,78944513.438897,451054.561103,0.00571356
20000000000,total_le_half,0,10000000000,122776796,121092614.590403,1684181.409597,0.01390821
20000000000,u_trunc_q,0.0,0.1,2,2.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.1,0.2,26,26.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.2,0.3,172,172.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.3,0.4,1368,1368.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.4,0.5,11562,11562.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.5,0.6,102152,102152.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.6,0.7,930580,930580.000000,0.000000,0.00000000
20000000000,u_trunc_q,0.7,0.8,8671093,8664657.625026,6435.374974,0.00074272
20000000000,u_trunc_q,0.8,0.9,53524913,48517143.143203,5007769.856797,0.10321650
20000000000,u_trunc_q,0.9,1.0,59534928,30962513.803147,28572414.196853,0.92280667
20000000000,u_trunc_qm1,0.0,0.1,2,2.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.1,0.2,26,26.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.2,0.3,172,172.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.3,0.4,1368,1368.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.4,0.5,11562,11562.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.5,0.6,102152,102152.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.6,0.7,930580,930580.000000,0.000000,0.00000000
20000000000,u_trunc_qm1,0.7,0.8,8671093,8664657.625393,6435.374607,0.00074272
20000000000,u_trunc_qm1,0.8,0.9,53524913,48517143.173533,5007769.826467,0.10321650
20000000000,u_trunc_qm1,0.9,1.0,59534928,30962513.811660,28572414.188340,0.92280667
20000000000,total_trunc_q,0,10000000000,122776796,89190176.571290,33586619.428710,0.37657308
20000000000,total_trunc_qm1,0,10000000000,122776796,89190176.610465,33586619.389535,0.37657308
