X,lam_lo,lam_hi,lam_mid,n_q,mu_emp,lam_mean,var_N,var_over_mu,under,P_N0,P_N1,P_N2,P_Nge3,m2_fact,m3_fact,m4_fact,kappa2F,kappa3F,kappa4F,S2,S3,S3_over_S2,Q,Q_2nd,Q_minus_Q2,rel_err_Q2,T,sign_k2_neg,sign_k3_pos,sign_k4_neg,sign_ok
10000000000,0.84089642,1,0.92044821,4299307,0.8637406,0.91597466,0.69429826,0.80382729,0.04009673,0.38148543,0.41289305,0.1693652,0.03625631,0.57660549,0.28004699,0.08940045,-0.16944233,0.074717875,-0.052993949,0.16944233,0.037358938,0.22048172,1.1226252,1.1046272,0.017998006,0.01603207,2.8235504,1,1,1,1
10000000000,1,1.1892071,1.0946035,3646623,1.0741938,1.089273,0.84986776,0.79116797,0.04284758,0.29872542,0.40906806,0.22187651,0.07033,0.92956634,0.62286998,0.30656309,-0.22432609,0.10627494,-0.079421737,0.22432609,0.053137469,0.23687602,1.1183892,1.1018358,0.016553409,0.014801116,2.7260128,1,1,1,1
10000000000,1.1892071,1.4142136,1.3017104,3094255,1.2862385,1.2953628,1.0048793,0.78125428,0.04315349,0.23315467,0.38760348,0.26335257,0.11588929,1.3730504,1.1819666,0.78989482,-0.28135918,0.1396863,-0.11044488,0.28135918,0.069843152,0.24823485,1.1101742,1.0951501,0.015024107,0.013533107,2.5368549,1,1,1,1
10000000000,1.4142136,1.6817928,1.5480032,2624521,1.5047999,1.5404863,1.1690148,0.77685727,0.04094067,0.18112105,0.35459232,0.29157816,0.17270847,1.9286376,2.0624792,1.7932689,-0.33578516,0.17084441,-0.13878586,0.33578516,0.085422206,0.25439541,1.0981198,1.0856507,0.012469189,0.011355035,2.2592928,1,1,1,1
10000000000,1.6817928,2,1.8408964,2226939,1.7845801,1.8319616,1.3685253,0.76686121,0.03792325,0.12994429,0.30656071,0.30963578,0.25385922,2.7686713,3.6793805,4.112691,-0.41605484,0.2234313,-0.19389413,0.41605484,0.11171565,0.26851183,1.0859711,1.0749942,0.010976882,0.010107896,1.9795569,1,1,1,1
10000000000,2,2.3784142,2.1892071,1889278,2.1474616,2.1785544,1.6338526,0.76082971,0.03172074,0.08505948,0.24295736,0.30612806,0.3658551,4.0979824,6.8772907,10.02952,-0.51360902,0.28294206,-0.24773703,0.51360902,0.14147103,0.27544498,1.0577217,1.0552277,0.0024939227,0.0023578252,1.3290903,1,1,1,1
10000000000,2.3784142,2.8284271,2.6034206,1603426,2.5655041,2.5907894,1.9303146,0.7524114,0.02501086,0.05186956,0.17901793,0.27674866,0.49236385,5.9466218,12.34949,22.759277,-0.63518956,0.3525706,-0.3052594,0.63518956,0.1762853,0.2775318,1.0243292,1.0262238,-0.0018946259,-0.001849626,0.56020009,1,1,1,1
10000000000,2.8284271,3.3635857,3.0960064,1360628,3.038702,3.0809491,2.2724396,0.74783235,0.01852602,0.029371,0.1226713,0.2294514,0.61850631,8.4674474,21.523082,49.574061,-0.76626235,0.44991868,-0.46481847,0.76626235,0.22495934,0.29358005,1.0095461,1.0041544,0.0053916171,0.0053406351,0.21980623,1,1,1,1
10000000000,3.3635857,4,3.6817928,1154704,3.6383393,3.6638699,2.6901851,0.73939918,0.01189661,0.01439936,0.07243328,0.16608499,0.74708237,12.289359,38.379363,110.29902,-0.94815422,0.56591817,-0.55851067,0.94815422,0.28295908,0.2984315,0.95430004,0.96191578,-0.0076157364,-0.0079804423,-1.0522804,1,1,1,1
20000000000,0.5,0.59460356,0.54730178,13237553,0.50053125,0.544639,0.41407007,0.82726117,0.02952415,0.57668438,0.35084551,0.06779863,0.00467148,0.16407035,0.02936147,0.00177676,-0.086461182,0.033792177,-0.021104542,0.086461182,0.016896089,0.1954182,1.1265856,1.1086635,0.017922075,0.015908312,3.0024831,1,1,1,1
