X,lam_lo,lam_hi,n_q,mu_emp,lam_mean,P0_emp,exp_m_mu,exp_m_lam,g,under,tilde_g,logX_g,var_N,var_over_mu,P_N0,P_N1,P_N2,P_Nge3
100000000,7.6109255,8,2708,7.72932053,7.80436047,0.00036928,0.00043974,0.00040795,0.00003868,0.00007047,0.00129804,0.00071244,4.68559525,0.60621050,0.00036928,0.00036928,0.00443131,0.99483013
1000000000,0.2,0.23784142,2099527,0.24632882,0.21785692,0.76614495,0.78166516,0.80424050,0.03809556,0.01552021,0.32162949,0.78946435,0.21059845,0.85494851,0.76614495,0.22138129,0.01247376,0.00000000
1000000000,0.23784142,0.28284271,1780523,0.26251556,0.25907524,0.75164376,0.76911439,0.77176495,0.02012119,0.01747063,0.36204861,0.41697681,0.22191979,0.84535859,0.75164376,0.23419692,0.01415932,0.00000000
1000000000,0.28284271,0.33635857,1512066,0.26462800,0.30809058,0.74990906,0.76749140,0.73484875,-0.01506031,0.01758234,0.36436350,-0.31209885,0.22367415,0.84523992,0.74990906,0.23555387,0.01453706,0.00000000
1000000000,0.33635857,0.4,1282570,0.26688056,0.36639200,0.74780792,0.76576453,0.69323100,-0.05457692,0.01795661,0.37211964,-1.13101198,0.22503228,0.84319473,0.74780792,0.23750361,0.01468848,0.00000000
1000000000,0.4,0.47568285,1088832,0.38399496,0.43571577,0.65531046,0.68113486,0.64680154,-0.00850892,0.02582440,0.53516589,-0.17633258,0.31699785,0.82552607,0.65531046,0.30630621,0.03746124,0.00092209
1000000000,0.47568285,0.56568542,924357,0.50189267,0.51816319,0.57449665,0.60538378,0.59561357,0.02111692,0.03088713,0.64008230,0.43761159,0.41225624,0.82140319,0.57449665,0.35378647,0.06711260,0.00460428
1000000000,0.56568542,0.67271713,784141,0.57613873,0.61620313,0.52518616,0.56206446,0.53999082,0.01480466,0.03687831,0.76423893,0.30680099,0.46110776,0.80034155,0.52518616,0.38050810,0.08739500,0.00691075
1000000000,0.67271713,0.8,666189,0.68236491,0.73278977,0.46493563,0.50542030,0.48056645,0.01563082,0.04048468,0.83897470,0.32392166,0.54212517,0.79447985,0.46493563,0.40265450,0.11801906,0.01439081
1000000000,0.8,0.95136569,565321,0.85547326,0.87142611,0.37913504,0.42508197,0.41835450,0.03921946,0.04594693,0.95217041,0.81275537,0.66699377,0.77967811,0.37913504,0.42093607,0.16758797,0.03234092
1000000000,0.95136569,1.1313708,480256,0.98523288,1.03633620,0.32800007,0.37335227,0.35475205,0.02675198,0.04535221,0.93984581,0.55438836,0.77089984,0.78245444,0.32800007,0.41742321,0.20189232,0.05268440
1000000000,1.1313708,1.3454343,407807,1.21122492,1.23245360,0.25082453,0.29783224,0.29157629,0.04075176,0.04700770,0.97415314,0.84450946,0.93114217,0.76876075,0.25082453,0.40017704,0.25287697,0.09612145
1000000000,1.3454343,1.6,346142,1.44989340,1.46559907,0.18806444,0.23459530,0.23093960,0.04287517,0.04653086,0.96427137,0.88851346,1.09064618,0.75222508,0.18806444,0.36562162,0.29190910,0.15440484
1000000000,1.6,1.9027314,294129,1.69913881,1.74290188,0.13953401,0.18284092,0.17501180,0.03547779,0.04330690,0.89746045,0.73521558,1.27193236,0.74857472,0.13953401,0.32377970,0.31012243,0.22656385
1000000000,1.9027314,2.2627417,249937,2.02316984,2.07268500,0.09482790,0.13223563,0.12584743,0.03101953,0.03740774,0.77521049,0.64282599,1.49726861,0.74006076,0.09482790,0.26399853,0.31434321,0.32683036
1000000000,2.2627417,2.6908685,212140,2.43537287,2.46489853,0.05758461,0.08756509,0.08501747,0.02743285,0.02998048,0.62129339,0.56849833,1.78102650,0.73131574,0.05758461,0.19607806,0.29094937,0.45538795
1000000000,2.6908685,3.2,180345,2.89654828,2.93117129,0.03229920,0.05521347,0.05333453,0.02103533,0.02291427,0.47485848,0.43592067,2.09056476,0.72174345,0.03229920,0.13586182,0.24539632,0.58644265
