X,lam_lo,lam_hi,lam_mid,width,n_q,mu_emp,lam_mean,P0_emp,under,g_lam,var_N,mu_minus_var,var_over_mu,Q,Q_lam,exp_m_mu
10000000000,4.52548340,5.38173710,4.95361025,0.85625370,872078,4.89987937,4.92953937,0.00312013,0.00432735,0.00410970,3.57236069,1.32751868,0.72907115,0.87539074,0.83136177,0.00744748
10000000000,5.38173710,6.40000000,5.89086855,1.01826290,740402,5.81854182,5.86234060,0.00103457,0.00193736,0.00181000,4.20637266,1.61216916,0.72292557,0.80870536,0.75554192,0.00297194
10000000000,6.40000000,7.61092550,7.00546275,1.21092550,628670,6.94513338,6.97145890,0.00025610,0.00070722,0.00068219,4.97323315,1.97190023,0.71607453,0.74461657,0.71826302,0.00096331
10000000000,7.61092550,8.00000000,7.80546275,0.38907450,162567,7.76465088,7.80237722,0.00007382,0.00035066,0.00033495,5.38678540,2.37786548,0.69375758,0.69482266,0.66369375,0.00042448
20000000000,0.20000000,0.23784142,0.21892071,0.03784142,31723099,0.22818628,0.21785350,0.78247251,0.01350346,0.02177074,0.19743489,0.03075139,0.86523559,1.10334250,1.77884652,0.79597597
20000000000,0.23784142,0.28284271,0.26034207,0.04500129,26887221,0.22976484,0.25907289,0.78103520,0.01368527,-0.00926843,0.19857303,0.03119181,0.86424465,1.10415080,-0.74779266,0.79472047
20000000000,0.28284271,0.33635857,0.30960064,0.05351586,22786896,0.23150485,0.30809166,0.77945311,0.01388573,-0.04460515,0.19982629,0.03167856,0.86316240,1.10503125,-3.54969343,0.79333885
20000000000,0.33635857,0.40000000,0.36817929,0.06364143,19318188,0.31215686,0.36638526,0.71362185,0.01824487,-0.02038617,0.26724442,0.04491244,0.85612219,1.11012561,-1.24041494,0.73186672
20000000000,0.40000000,0.47568285,0.43784143,0.07568285,16374016,0.40916101,0.43570968,0.64125734,0.02294993,0.00554814,0.34731334,0.06184767,0.84884270,1.11733753,0.27011608,0.66420728
20000000000,0.47568285,0.56568542,0.52068413,0.09000257,13880594,0.49939858,0.51814781,0.57753753,0.02935801,0.01808520,0.41342074,0.08597784,0.82783723,1.12526841,0.69319086,0.60689555
20000000000,0.56568542,0.67271713,0.61920127,0.10703171,11769442,0.56671693,0.61618291,0.53583228,0.03155287,0.00416946,0.46780697,0.09890996,0.82546849,1.12447777,0.14859076,0.56738515
20000000000,0.67271713,0.80000000,0.73635856,0.12728287,9977673,0.72052612,0.73276782,0.44969163,0.03680461,0.03088537,0.58622991,0.13429621,0.81361369,1.12664989,0.94545218,0.48649623
