rank,label,form,digits,B,K_cert,n_kills,compression_ratio,q_mod_3,m0_note,wall_s,forb_s,walk_s,n_active_r,skipped_qmod0,reused,skipped,skip_reason,first_survivor,kill_table
15,4*5^11786358+1,GenPow,8238312,10000000,40,13,633716,2,m0=q-1 (not a 2-power sink),0.9971,0.9709,0.0262,664578,0,0,0,,"k=40, ε=-1 (class A)",2:B:151;4:A:13;8:B:19;10:A:7;14:B:5;16:A:5;20:B:11;22:A:2029;26:B:41;28:A:827;32:B:7;34:A:1129;38:B:119057
16,2^25964951-1,Mersenne,7816230,10000000,2,0,7.81623e+06,1,m0=q+1=2^25964951 (pure 2-power sink),0.9005,0.8742,0.0262,664578,0,0,0,,"k=2, ε=-1 (class A)",
17,4052186*69^4052186+1,GenPow,7451366,10000000,26,8,931421,1,m0=q+1 (not a 2-power sink),1.0510,0.9975,0.0535,664578,0,0,0,,"k=26, ε=-1 (class A)",2:A:6174463;4:B:11;8:A:5;10:B:673;14:A:2089;16:B:2820553;20:A:7;22:B:5
18,69*2^24612729-1,Riesel,7409172,10000000,110,36,205810,2,m0=q-1 (not a 2-power sink),1.0485,1.0208,0.0276,664578,0,0,0,,"k=110, ε=+1 (class B)",2:B:5;4:A:7841;8:B:173;10:A:7;14:B:577;16:A:87481;20:B:11;22:A:23;26:B:47;28:A:5;32:B:5;34:A:14173;38:B:61;40:A:19;44:B:71;46:A:11;50:B:17;52:A:7;56:B:1307;58:A:5;62:B:5;64:A:101;68:B:83;70:A:43;74:B:7;76:A:13;80:B:13;82:A:107;86:B:11;88:A:5;92:B:5;94:A:7;98:B:29;100:A:137;104:B:79;106:A:233
19,2^24036583-1,Mersenne,7235733,10000000,16,5,1.44715e+06,1,m0=q+1=2^24036583 (pure 2-power sink),0.9297,0.8994,0.0303,664578,0,0,0,,"k=16, ε=+1 (class B)",2:A:59;4:B:577;8:A:5;10:B:281;14:A:101
20,7172162^1048576+1,GFN,7188671,10000000,4,1,7.18867e+06,2,m0=q-1 (not a 2-power sink),0.7518,0.7221,0.0297,664578,0,0,0,,"k=4, ε=-1 (class A)",2:B:5
21,5336284^1048576+1,GFN,7054022,10000000,14,4,1.76351e+06,2,m0=q-1 (not a 2-power sink),0.7513,0.7226,0.0287,664578,0,0,0,,"k=14, ε=+1 (class B)",2:B:5;4:A:10333;8:B:11;10:A:19
22,107347*2^23427517-1,Riesel,7052391,10000000,10,3,2.3508e+06,1,m0=q+1 (not a 2-power sink),1.0594,1.0309,0.0285,664578,0,0,0,,"k=10, ε=+1 (class B)",2:A:5;4:B:359;8:A:11
23,3*2^23157875-1,Riesel,6971216,10000000,10,3,2.32374e+06,2,m0=q-1 (not a 2-power sink),1.0153,0.9854,0.0299,664578,0,0,0,,"k=10, ε=-1 (class A)",2:B:47;4:A:4679;8:B:5
24,3843236^1048576+1,GFN,6904556,10000000,10,3,2.30152e+06,2,m0=q-1 (not a 2-power sink),0.7371,0.7072,0.0299,664578,0,0,0,,"k=10, ε=-1 (class A)",2:B:5;4:A:13;8:B:17
25,3*2^22103376-1,Riesel,6653780,10000000,44,14,475270,2,m0=q-1 (not a 2-power sink),0.9283,0.8982,0.0301,664578,0,0,0,,"k=44, ε=+1 (class B)",2:B:5;4:A:7;8:B:11;10:A:337;14:B:37;16:A:677;20:B:29;22:A:47;26:B:6361;28:A:5;32:B:5;34:A:151;38:B:7;40:A:281
26,1963736^1048576+1,GFN,6598776,10000000,22,7,942682,2,m0=q-1 (not a 2-power sink),0.7362,0.7077,0.0285,664578,0,0,0,,"k=22, ε=-1 (class A)",2:B:5;4:A:43;8:B:17;10:A:53;14:B:29;16:A:60317;20:B:11
27,1951734^1048576+1,GFN,6595985,10000000,34,11,599635,1,m0=q+1 (not a 2-power sink),0.7487,0.7150,0.0337,664578,0,0,0,,"k=34, ε=+1 (class B)",2:A:1787;4:B:463;8:A:5;10:B:7;14:A:1081901;16:B:139;20:A:11;22:B:5;26:A:17;28:B:503;32:A:7
28,202705*2^21320516+1,Proth,6418121,10000000,2,0,6.41812e+06,2,m0=q-1 (not a 2-power sink),0.9658,0.9355,0.0303,664578,0,0,0,,"k=2, ε=+1 (class B)",
29,2^20996011-1,Mersenne,6320430,10000000,16,5,1.26409e+06,1,m0=q+1=2^20996011 (pure 2-power sink),0.9211,0.8757,0.0454,664578,0,0,0,,"k=16, ε=+1 (class B)",2:A:86183;4:B:3873697;8:A:5;10:B:11;14:A:1009
30,1059094^1048576+1,GFN,6317602,10000000,26,8,789700,2,m0=q-1 (not a 2-power sink),0.7399,0.7090,0.0308,664578,0,0,0,,"k=26, ε=+1 (class B)",2:B:5;4:A:7;8:B:11;10:A:13;14:B:31;16:A:48593;20:B:1877;22:A:98123
31,3*2^20928756-1,Riesel,6300184,10000000,14,4,1.57505e+06,2,m0=q-1 (not a 2-power sink),1.0130,0.9812,0.0318,664578,0,0,0,,"k=14, ε=+1 (class B)",2:B:5;4:A:7;8:B:11;10:A:107
32,919444^1048576+1,GFN,6253210,10000000,34,11,568474,2,m0=q-1 (not a 2-power sink),0.7503,0.7173,0.0330,664578,0,0,0,,"k=34, ε=-1 (class A)",2:B:5;4:A:7;8:B:17;10:A:11;14:B:29;16:A:210019;20:B:31;22:A:47;26:B:173;28:A:5;32:B:5
33,81*2^20498148+1,Proth,6170560,10000000,26,8,771320,1,m0=q+1 (not a 2-power sink),0.9692,0.9373,0.0318,664578,0,0,0,,"k=26, ε=-1 (class A)",2:A:139;4:B:7;8:A:5;10:B:17;14:A:37;16:B:11;20:A:149;22:B:5
34,7*2^20267500+1,Proth,6101127,10000000,32,10,610113,2,m0=q-1 (not a 2-power sink),0.9768,0.9438,0.0330,664578,0,0,0,,"k=32, ε=+1 (class B)",2:B:3253;4:A:31;8:B:5;10:A:607;14:B:373;16:A:13;20:B:7;22:A:5;26:B:11;28:A:367
35,4*5^8431178+1,GenPow,5893142,10000000,10,3,1.96438e+06,2,m0=q-1 (not a 2-power sink),0.9327,0.9005,0.0322,664578,0,0,0,,"k=10, ε=-1 (class A)",2:B:7;4:A:13;8:B:43
36,168451*2^19375200+1,Proth,5832522,10000000,38,12,486044,2,m0=q-1 (not a 2-power sink),0.9696,0.9366,0.0330,664578,0,0,0,,"k=38, ε=+1 (class B)",2:B:5;4:A:37;8:B:29;10:A:673;14:B:23;16:A:7;20:B:13;22:A:71;26:B:7;28:A:5;32:B:5;34:A:4597
37,69*2^19374980-1,Riesel,5832452,10000000,32,10,583245,2,m0=q-1 (not a 2-power sink),0.9894,0.9351,0.0543,664578,0,0,0,,"k=32, ε=+1 (class B)",2:B:338791;4:A:7;8:B:5;10:A:5681003;14:B:431;16:A:13;20:B:29;22:A:5;26:B:17;28:A:11
