source,ell,r,k,a,b,N,door,r_mod3,m0,m1,v2_door,exact_2_door,cof_primes,gold_primes,match_mod3_rule
germain,19,735187,19347,,,,m1,1,735188,735186,1,True,3;6449,183797,True
germain,19,735263,19349,,,,m0,2,735262,735264,1,True,11;1759,11;19;1759,True
germain,19,735491,19355,,,,m0,2,735490,735492,1,True,5;7;79,5;7;19;79,True
germain,19,735529,19356,,,,m1,1,735530,735528,3,False,3;1613,5;73553,True
germain,19,735719,19361,,,,m0,2,735718,735720,1,True,1019,19;1019,True
germain,19,735871,19365,,,,m1,1,735872,735870,1,True,3;5;1291,5749,True
germain,19,736061,19370,,,,m0,2,736060,736062,2,False,5;13;149,5;13;19;149,True
germain,19,736403,19379,,,,m0,2,736402,736404,1,True,19379,19;19379,True
germain,19,736441,19380,,,,m1,1,736442,736440,3,False,3;5;17,7;41;1283,True
germain,19,736973,19394,,,,m0,2,736972,736974,2,False,9697,19;9697,True
germain,19,737353,19404,,,,m1,1,737354,737352,3,False,3;7;11,29;12713,True
germain,19,737657,19412,,,,m0,2,737656,737658,3,False,23;211,19;23;211,True
germain,19,737809,19416,,,,m1,1,737810,737808,4,False,3;809,5;89;829,True
germain,19,737999,19421,,,,m0,2,737998,738000,1,True,19421,19;19421,True
germain,19,738151,19425,,,,m1,1,738152,738150,1,True,3;5;7;37,92269,True
germain,19,738341,19430,,,,m0,2,738340,738342,2,False,5;29;67,5;19;29;67,True
germain,19,738379,19431,,,,m1,1,738380,738378,1,True,3;17;127,5;36919,True
germain,19,738721,19440,,,,m1,1,738722,738720,5,False,3;5,369361,True
germain,19,738797,19442,,,,m0,2,738796,738798,2,False,9721,19;9721,True
germain,19,739253,19454,,,,m0,2,739252,739254,2,False,71;137,19;71;137,True
germain,19,739633,19464,,,,m1,1,739634,739632,4,False,3;811,7;23;2297,True
germain,19,739861,19470,,,,m1,1,739862,739860,2,False,3;5;11;59,83;4457,True
germain,19,740279,19481,,,,m0,2,740278,740280,1,True,7;11;23,7;11;19;23,True
germain,19,740659,19491,,,,m1,1,740660,740658,1,True,3;73;89,5;29;1277,True
germain,19,740849,19496,,,,m0,2,740848,740850,4,False,2437,19;2437,True
germain,19,741001,19500,,,,m1,1,741002,741000,3,False,3;5;13,47;7883,True
germain,19,741077,19502,,,,m0,2,741076,741078,2,False,7;199,7;19;199,True
germain,19,741229,19506,,,,m1,1,741230,741228,2,False,3;3251,5;7;10589,True
germain,19,741343,19509,,,,m1,1,741344,741342,1,True,3;7;929,23167,True
germain,19,741457,19512,,,,m1,1,741458,741456,4,False,3;271,31;11959,True
germain,19,741913,19524,,,,m1,1,741914,741912,3,False,3;1627,17;21821,True
germain,19,742369,19536,,,,m1,1,742370,742368,5,False,3;11;37,5;61;1217,True
germain,19,742559,19541,,,,m0,2,742558,742560,1,True,19541,19;19541,True
germain,19,742673,19544,,,,m0,2,742672,742674,4,False,7;349,7;19;349,True
germain,19,742711,19545,,,,m1,1,742712,742710,1,True,3;5;1303,263;353,True
germain,19,743129,19556,,,,m0,2,743128,743130,3,False,4889,19;4889,True
germain,19,743167,19557,,,,m1,1,743168,743166,1,True,3;41;53,2903,True
germain,19,743851,19575,,,,m1,1,743852,743850,1,True,3;5;29,17;10939,True
germain,19,744649,19596,,,,m1,1,744650,744648,3,False,3;23;71,5;53;281,True
germain,19,745067,19607,,,,m0,2,745066,745068,1,True,7;2801,7;19;2801,True
germain,19,745181,19610,,,,m0,2,745180,745182,2,False,5;37;53,5;19;37;53,True
germain,19,745751,19625,,,,m0,2,745750,745752,1,True,5;157,5;19;157,True
germain,19,745903,19629,,,,m1,1,745904,745902,1,True,3;727,46619,True
germain,19,746017,19632,,,,m1,1,746018,746016,5,False,3;409,7;13;4099,True
germain,19,746777,19652,,,,m0,2,746776,746778,3,False,17,17;19,True
germain,19,746891,19655,,,,m0,2,746890,746892,1,True,5;3931,5;19;3931,True
germain,19,747157,19662,,,,m1,1,747158,747156,2,False,3;29;113,167;2237,True
germain,19,747499,19671,,,,m1,1,747500,747498,1,True,3;79;83,5;13;23,True
germain,19,747841,19680,,,,m1,1,747842,747840,6,False,3;5;41,199;1879,True
germain,19,747917,19682,,,,m0,2,747916,747918,2,False,13;757,13;19;757,True
germain,19,748183,19689,,,,m1,1,748184,748182,1,True,3;6563,93523,True
germain,19,748487,19697,,,,m0,2,748486,748488,1,True,19697,19;19697,True
germain,19,748639,19701,,,,m1,1,748640,748638,1,True,3;11;199,5;4679,True
germain,19,748829,19706,,,,m0,2,748828,748830,2,False,59;167,19;59;167,True
germain,19,748981,19710,,,,m1,1,748982,748980,2,False,3;5;73,13;28807,True
germain,19,749171,19715,,,,m0,2,749170,749172,1,True,5;3943,5;19;3943,True
germain,19,749209,19716,,,,m1,1,749210,749208,3,False,3;31;53,5;7;11;139,True
germain,19,749323,19719,,,,m1,1,749324,749322,1,True,3;7;313,37;61;83,True
germain,19,749741,19730,,,,m0,2,749740,749742,2,False,5;1973,5;19;1973,True
germain,19,749779,19731,,,,m1,1,749780,749778,1,True,3;6577,5;37489,True
germain,19,749893,19734,,,,m1,1,749894,749892,2,False,3;11;13;23,211;1777,True
germain,19,750083,19739,,,,m0,2,750082,750084,1,True,19739,19;19739,True
germain,19,750121,19740,,,,m1,1,750122,750120,3,False,3;5;7;47,23;709,True
germain,19,750311,19745,,,,m0,2,750310,750312,1,True,5;11;359,5;11;19;359,True
germain,19,750653,19754,,,,m0,2,750652,750654,2,False,7;17;83,7;17;19;83,True
germain,19,750691,19755,,,,m1,1,750692,750690,1,True,3;5;439,53;3541,True
germain,19,751147,19767,,,,m1,1,751148,751146,1,True,3;11;599,187787,True
germain,19,751717,19782,,,,m1,1,751718,751716,2,False,3;7;157,11;47;727,True
germain,19,752287,19797,,,,m1,1,752288,752286,1,True,3;6599,23509,True
germain,19,752819,19811,,,,m0,2,752818,752820,1,True,11;1801,11;19;1801,True
germain,19,752933,19814,,,,m0,2,752932,752934,2,False,9907,19;9907,True
germain,19,753161,19820,,,,m0,2,753160,753162,3,False,5;991,5;19;991,True
germain,19,753427,19827,,,,m1,1,753428,753426,1,True,3;2203,13;14489,True
germain,19,753617,19832,,,,m0,2,753616,753618,4,False,37;67,19;37;67,True
germain,19,753959,19841,,,,m0,2,753958,753960,1,True,19841,19;19841,True
germain,19,754073,19844,,,,m0,2,754072,754074,3,False,11;41,11;19;41,True
germain,19,754111,19845,,,,m1,1,754112,754110,1,True,3;5;7,11783,True
germain,19,754301,19850,,,,m0,2,754300,754302,2,False,5;397,5;19;397,True
germain,19,755137,19872,,,,m1,1,755138,755136,6,False,3;23,41;9209,True
germain,19,755213,19874,,,,m0,2,755212,755214,2,False,523,19;523,True
germain,19,755441,19880,,,,m0,2,755440,755442,4,False,5;7;71,5;7;19;71,True
germain,19,755593,19884,,,,m1,1,755594,755592,3,False,3;1657,7;31;1741,True
germain,19,755707,19887,,,,m1,1,755708,755706,1,True,3;7;947,188927,True
germain,19,756011,19895,,,,m0,2,756010,756012,1,True,5;23;173,5;19;23;173,True
germain,19,756467,19907,,,,m0,2,756466,756468,1,True,17;1171,17;19;1171,True
germain,19,756923,19919,,,,m0,2,756922,756924,1,True,19919,19;19919,True
germain,19,756961,19920,,,,m1,1,756962,756960,5,False,3;5;83,461;821,True
germain,19,757151,19925,,,,m0,2,757150,757152,1,True,5;797,5;19;797,True
germain,19,757417,19932,,,,m1,1,757418,757416,3,False,3;11;151,17;22277,True
germain,19,757607,19937,,,,m0,2,757606,757608,1,True,19937,19;19937,True
germain,19,758101,19950,,,,m1,1,758102,758100,2,False,3;5;7,89;4259,True
germain,19,758519,19961,,,,m0,2,758518,758520,1,True,19961,19;19961,True
germain,19,758633,19964,,,,m0,2,758632,758634,3,False,7;23;31,7;19;23;31,True
germain,19,758671,19965,,,,m1,1,758672,758670,1,True,3;5;11,47417,True
germain,19,758899,19971,,,,m1,1,758900,758898,1,True,3;7;317,5;7589,True
germain,19,759089,19976,,,,m0,2,759088,759090,4,False,11;227,11;19;227,True
germain,19,759431,19985,,,,m0,2,759430,759432,1,True,5;7;571,5;7;19;571,True
germain,19,759659,19991,,,,m0,2,759658,759660,1,True,19991,19;19991,True
germain,19,759697,19992,,,,m1,1,759698,759696,4,False,3;7;17,379849,True
germain,19,760153,20004,,,,m1,1,760154,760152,3,False,3;1667,43;8839,True
germain,19,760229,20006,,,,m0,2,760228,760230,2,False,7;1429,7;19;1429,True
germain,19,760267,20007,,,,m1,1,760268,760266,1,True,3;13,71;2677,True
germain,19,760343,20009,,,,m0,2,760342,760344,1,True,11;17;107,11;17;19;107,True
germain,19,760457,20012,,,,m0,2,760456,760458,3,False,5003,19;5003,True
germain,19,760723,20019,,,,m1,1,760724,760722,1,True,3;6673,190181,True
germain,19,760913,20024,,,,m0,2,760912,760914,4,False,2503,19;2503,True
germain,19,760951,20025,,,,m1,1,760952,760950,1,True,3;5;89,73;1303,True
germain,19,761179,20031,,,,m1,1,761180,761178,1,True,3;11;607,5;7;5437,True
germain,19,761407,20037,,,,m1,1,761408,761406,1,True,3;6679,11897,True
germain,19,761483,20039,,,,m0,2,761482,761484,1,True,29;691,19;29;691,True
germain,19,761521,20040,,,,m1,1,761522,761520,4,False,3;5;167,67;5683,True
germain,19,761597,20042,,,,m0,2,761596,761598,2,False,11;911,11;19;911,True
germain,19,761711,20045,,,,m0,2,761710,761712,1,True,5;211,5;19;211,True
germain,19,761863,20049,,,,m1,1,761864,761862,1,True,3;41;163,95233,True
germain,19,761939,20051,,,,m0,2,761938,761940,1,True,20051,19;20051,True
germain,19,761977,20052,,,,m1,1,761978,761976,3,False,3;557,7;37;1471,True
germain,19,762053,20054,,,,m0,2,762052,762054,2,False,37;271,19;37;271,True
germain,19,762319,20061,,,,m1,1,762320,762318,1,True,3;743,5;13;733,True
germain,19,762547,20067,,,,m1,1,762548,762546,1,True,3;6689,379;503,True
germain,19,762737,20072,,,,m0,2,762736,762738,4,False,13;193,13;19;193,True
germain,19,763307,20087,,,,m0,2,763306,763308,1,True,53;379,19;53;379,True
germain,19,763573,20094,,,,m1,1,763574,763572,2,False,3;17;197,7;54541,True
germain,19,763649,20096,,,,m0,2,763648,763650,8,False,157,19;157,True
germain,19,763801,20100,,,,m1,1,763802,763800,3,False,3;5;67,13;29;1013,True
germain,19,764143,20109,,,,m1,1,764144,764142,1,True,3;6703,163;293,True
germain,19,764447,20117,,,,m0,2,764446,764448,1,True,20117,19;20117,True
germain,19,764789,20126,,,,m0,2,764788,764790,2,False,29;347,19;29;347,True
germain,19,764903,20129,,,,m0,2,764902,764904,1,True,20129,19;20129,True
germain,19,765131,20135,,,,m0,2,765130,765132,1,True,5;4027,5;19;4027,True
germain,19,765169,20136,,,,m1,1,765170,765168,4,False,3;839,5;7;17;643,True
germain,19,765283,20139,,,,m1,1,765284,765282,1,True,3;7;137,13;14717,True
germain,19,765587,20147,,,,m0,2,765586,765588,1,True,20147,19;20147,True
germain,19,766651,20175,,,,m1,1,766652,766650,1,True,3;5;269,137;1399,True
germain,19,767677,20202,,,,m1,1,767678,767676,2,False,3;7;13;37,383839,True
germain,19,767867,20207,,,,m0,2,767866,767868,1,True,11;167,11;19;167,True
germain,19,768133,20214,,,,m1,1,768134,768132,2,False,3;1123,384067,True
germain,19,768323,20219,,,,m0,2,768322,768324,1,True,20219,19;20219,True
germain,19,768437,20222,,,,m0,2,768436,768438,2,False,10111,19;10111,True
germain,19,768589,20226,,,,m1,1,768590,768588,2,False,3;3371,5;151;509,True
germain,19,768931,20235,,,,m1,1,768932,768930,1,True,3;5;71,192233,True
germain,19,769007,20237,,,,m0,2,769006,769008,1,True,7;59,7;19;59,True
germain,19,769159,20241,,,,m1,1,769160,769158,1,True,3;13;173,5;7;41;67,True
germain,19,769273,20244,,,,m1,1,769274,769272,3,False,3;7;241,11;73;479,True
